category,item,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fibre,sugar,protein,vitamin_a,vitamin_c,calcium,iron
APPETIZERS & SALADS,Shrimp  Tempura,60,180,8,0,0,40,125,18,0,0,8,0,0,0,0
APPETIZERS & SALADS,Three  salads,120,130,3.5,0,0,60,790,13,4,8,8,2,6,40,8
APPETIZERS & SALADS,Wakame  ,125,110,2,0,0,0,1650,13,4,9,0,0,0,110,0
APPETIZERS & SALADS,Miso  soup,255,70,3,0.5,0,0,810,8,1,1,6,0,0,20,25
APPETIZERS & SALADS,Grilled  salmon  salad  ,276,260,19,2.5,0,30,340,12,3,6,12,80,80,8,8
APPETIZERS & SALADS,Green  salad,123,150,14,1,0,0,400,8,1,5,2,30,10,2,4
APPETIZERS & SALADS,Spicy  squid  salad,110,120,3,0,0,170,320,12,0,12,12,0,2,2,6
APPETIZERS & SALADS,Tataki  tuna  salad  ,276,250,17,2.5,0.1,30,340,12,3,6,14,80,80,8,8
APPETIZERS & SALADS,Yasai  salad  ,258,200,15,1,0,5,890,13,3,9,3,80,25,25,6
APPETIZERS & SALADS,Edamame  beans,135,170,5,0,0,0,440,15,7,2,13,8,15,8,20
APPETIZERS & SALADS,Fruit  bowl,207,110,0.5,0.1,0,0,3,28,4,20,2,8,140,4,4
SMALL  RAMEN  SOUP,Miso,290,240,9,2,0,50,820,24,2,2,15,0,4,20,15
SMALL  RAMEN  SOUP,Miso  with  Grilled  Chicken,330,320,15,2.5,0,70,895,30,2,2,18,4,12,20,17
SMALL  RAMEN  SOUP,Miso  with  Seafood,340,300,10.5,2.3,0,90,990,26,2,2,24,2,4,22,19
SMALL  RAMEN  SOUP,Miso  with  Shrimp  Tempura,310,300,11.5,2,0,65,860,30,2,2,18,0,4,20,15
SMALL  RAMEN  SOUP,Shoyu,290,140,3,0.5,0,50,200,18,1,0,8,2,4,4,4
SMALL  RAMEN  SOUP,Shoyu  with  Grilled  Chicken,330,220,9,1,0,70,275,24,1,0,11,6,12,4,6
SMALL  RAMEN  SOUP,Shoyu  with  Seafood,340,200,4.5,0.8,0,90,370,20,1,0,17,4,4,6,8
SMALL  RAMEN  SOUP,Shoyu  with  Shrimp  Tempura,310,200,5.5,0.5,0,65,240,24,1,0,11,2,4,4,4
SMALL  RAMEN  SOUP,Tonkotsu,290,220,6,2.5,0,55,660,26,1,1,7,0,4,4,4
SMALL  RAMEN  SOUP,Tonkotsu  with  Grilled  Chicken,330,300,12,3,0,75,735,32,1,1,10,4,12,4,6
SMALL  RAMEN  SOUP,Tonkotsu  with  Seafood,340,280,7.5,2.8,0,95,830,28,1,1,16,2,4,6,8
SMALL  RAMEN  SOUP,Tonkotsu  with  Shrimp  Tempura,310,280,8.5,2.5,0,70,700,32,1,1,10,0,4,4,4
NIGIRI  &  SASHIMI,Syake  Nigiri,62,80,2,0.3,0,20,15,8,0,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Syake  Nigiri  (brown  rice),62,100,2.5,0.3,0,20,15,10,1,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Syake  Sashimi,42,45,2,0.3,0,20,14,0,0,0,6,0,2,0,2
NIGIRI  &  SASHIMI,Seared  Syake  ,66,80,2,0.3,0,20,230,8,0,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Seared  Syake  (brown  rice),66,100,2.5,0.3,0,20,230,10,1,0,8,0,0,0,2
NIGIRI  &  SASHIMI,Izumidai  Nigiri,58,60,0.5,0.2,0,15,15,8,0,0,6,0,0,0,2
NIGIRI  &  SASHIMI,Izumidai  Nigiri  (brown  rice),58,80,1,0.2,0,15,15,10,1,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Izumidai    Sashimi,38,30,0.5,0.2,0,15,125,0,0,6,6,0,0,0,2
NIGIRI  &  SASHIMI,Seared  Izumidai  Nigiri,68,100,4.5,0.5,0,15,790,8,0,0,6,0,4,0,2
NIGIRI  &  SASHIMI,Seared  Izumidai  Nigiri  (brown  rice),68,110,5,0.5,0,15,790,10,1,0,7,0,4,0,2
NIGIRI  &  SASHIMI,Philly  kunsei  syake,61,70,2,0.5,0,5,200,8,0,0,5,2,0,0,2
NIGIRI  &  SASHIMI,Philly  kunsei  syake  (brown  rice),61,90,2.5,0.5,0,5,200,11,1,0,6,2,0,0,2
NIGIRI  &  SASHIMI,Ebi  Nigiri,44,50,0.2,0,0,20,20,8,0,0,3,0,0,2,2
NIGIRI  &  SASHIMI,Ebi  Nigiri  (brown  rice),44,70,0.5,0,0,20,20,10,1,0,4,0,0,0,2
NIGIRI  &  SASHIMI,Ebi  Sashimi,24,15,0.2,0,0,20,19,0,0,0,3,0,2,0,2
NIGIRI  &  SASHIMI,Maguro  Nigiri,58,70,0.3,0.1,0,15,10,8,0,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Maguro  Nigiri  (brown  rice),58,80,0.5,0.1,0,15,10,10,1,0,7,0,0,0,2
NIGIRI  &  SASHIMI,Maguro  Sashimi,38,30,0.3,0.1,0,15,9,0,0,0,7,0,2,0,2
NIGIRI  &  SASHIMI,Inari,74,130,4.5,2,0,0,190,17,1,6,5,0,0,10,10
NIGIRI  &  SASHIMI,Inari  (brown  rice),74,150,5,2,0,0,190,20,2,6,5,0,0,10,10
NIGIRI  &  SASHIMI,Kunsei  Syake  Nigiri,46,50,0.5,0.1,0,5,125,8,0,0,4,0,0,0,2
NIGIRI  &  SASHIMI,Kunsei  Syake  Nigiri  (brown  rice),46,70,1,0.1,0,5,125,10,1,0,4,0,0,0,2
NIGIRI  &  SASHIMI,Kunsei  Syake  Sashimi,26,20,0.5,0.1,0,5,129,0,0,0,3,0,2,0,0
NIGIRI  &  SASHIMI,Masago  Rouge,74,90,1,0,0,100,680,15,0,4,3,0,2,0,0
NIGIRI  &  SASHIMI,Masago  Rouge  (brown  rice),74,110,1.5,0,0,100,680,18,2,4,4,0,2,0,0
NIGIRI  &  SASHIMI,Masago  Orange  ,74,90,1,0,0,100,680,15,0,4,3,0,2,0,0
NIGIRI  &  SASHIMI,Masago  Orange  (brown  rice),74,110,1.5,0,0,100,680,18,2,4,4,0,2,0,0
NIGIRI  &  SASHIMI,Karai  Syake,100,130,3,0.4,0,25,120,18,0,1,8,0,2,2,6
NIGIRI  &  SASHIMI,Karai  Syake  (brown  rice),100,150,4,0.4,0,25,120,21,2,1,8,0,2,0,4
NIGIRI  &  SASHIMI,Karai  Maguro,100,120,1.5,0.2,0,20,120,18,0,1,9,0,2,2,6
NIGIRI  &  SASHIMI,Karai  Maguro  (brown  rice),100,140,2.5,0.2,0,20,120,21,2,1,9,0,2,0,4
NIGIRI  &  SASHIMI,Karai  Ebi,100,120,2,0.2,0,50,150,18,0,1,8,2,2,2,8
NIGIRI  &  SASHIMI,Karai  Ebi  (brown  rice),100,140,2.5,0.2,0,50,150,21,2,1,8,2,2,2,8
TARTARE,Maki  tartare  salmon  ,123,170,6,1,0,50,400,19,1,2,10,6,4,4,10
TARTARE,Maki  tartare  shrimp,123,160,4,0.5,0,90,440,19,1,2,10,8,4,6,15
TARTARE,Maki  tartare  veggie  ,125,100,2.5,0.4,0,0,740,19,2,4,1,50,40,2,6
TARTARE,Maki  tartare  tuna,123,160,4,0.4,0,45,400,19,1,2,12,6,4,4,10
TARTARE,Maki  tartare  tilapia,123,150,4,0.5,0,50,400,19,1,2,10,6,4,4,8
TARTARE,Tartares  salmon,151,190,6,1,0,45,850,13,1,1,19,2,10,4,10
TARTARE,Tartares  tuna,151,160,2,0.4,0,35,850,13,1,1,22,2,15,4,10
TARTARE,Smoked  salmon  &  salmon,149,220,14,2,0,40,730,2,1,1,20,2,4,4,8
HOSOMAKI,Philly  Kappa  ,114,130,4.5,2.5,0,10,40,18,2,1,4,4,8,4,4
HOSOMAKI,Philly  Kappa    (brown  rice),114,160,6,2.5,0,10,40,23,3,1,4,4,8,4,4
HOSOMAKI,Akanasu  avocado,149,370,26,8,0.2,15,640,27,6,4,8,8,10,8,10
HOSOMAKI,Akanasu  avocado  (brown  rice),149,400,27,8,0.2,15,640,31,8,4,8,8,10,8,10
HOSOMAKI,Kappa  ,104,90,1,0.2,0,0,10,18,2,1,3,0,8,4,4
HOSOMAKI,Kappa  (brown  rice),104,120,2,0.2,0,0,10,22,3,1,3,0,8,2,2
HOSOMAKI,Avocado,119,160,8,1.5,0,0,15,20,4,0,4,2,10,4,6
HOSOMAKI,Avocado  (brown  rice),119,160,9,1.5,0,0,10,18,5,0,3,2,10,2,6
HOSOMAKI,Oshinko,114,90,1,0.2,0,0,450,18,1,0,3,0,10,4,2
HOSOMAKI,Oshinko  (brown  rice),114,120,2,0.2,0,0,450,23,3,0,3,0,10,2,2
HOSOMAKI,Akanasu,109,310,20,7,0.2,15,640,24,4,4,7,4,4,8,8
HOSOMAKI,Akanasu  (brown  rice),109,340,21,7,0.2,15,640,28,6,4,7,4,4,6,6
HOSOMAKI,Syake,116,140,3.5,0.5,0,20,25,17,1,0,11,0,6,4,6
HOSOMAKI,Syake  (brown  rice),116,170,4.5,0.5,0,20,25,22,3,0,11,0,6,4,4
HOSOMAKI,Syake  Spicy,119,150,4,0.5,0,20,60,17,1,0,11,0,6,4,6
HOSOMAKI,Syake  Spicy  (brown  rice),119,180,5,0.5,0,20,60,22,3,0,11,0,6,4,4
HOSOMAKI,Tekka,116,130,1.5,0.3,0,20,25,17,1,0,12,0,6,4,4
HOSOMAKI,Tekka  (brown  rice),116,160,2.5,0.3,0,20,25,22,3,0,13,0,6,4,4
HOSOMAKI,Tekka  Spicy,119,140,2,0.3,0,20,55,17,1,0,12,0,6,4,4
HOSOMAKI,Tekka  Spicy  (brown  rice),119,170,3,0.3,0,20,55,22,3,0,13,0,6,4,4
HOSOMAKI,Tamago,112,150,3.5,1,0,150,180,22,1,5,6,4,4,6,6
HOSOMAKI,Tamago  (brown  rice),112,180,4.5,1,0,150,180,27,3,5,7,4,4,4,6
HOSOMAKI,Kani  Kama  ,104,120,1.5,0.3,0,5,260,20,1,0,6,0,4,4,4
HOSOMAKI,Kani  Kama  (brown  rice),104,150,2.5,0.3,0,5,260,24,3,0,7,0,4,2,2
HOSOMAKI,Tempura  Syake  ,131,170,4,0.5,0,15,85,24,2,1,9,0,6,4,8
HOSOMAKI,Tempura  Syake    (brown  rice),131,200,5,0.5,0,15,85,28,3,1,10,0,6,4,6
HOSOMAKI,Tempura  Tekka  ,131,160,2.5,0.3,0,15,85,24,2,1,11,0,6,4,8
HOSOMAKI,Tempura  Tekka    (brown  rice),131,190,3,0.3,0,15,85,28,3,1,11,0,6,4,6
MAKI,Black  Mamba,227,400,18,2,0.1,120,570,37,2,1,20,6,10,4,15
MAKI,Black  Mamba  (brown  rice)  ,227,440,19,2,0.1,120,570,43,4,1,21,6,10,2,10
MAKI,Vancouver,168,230,11,3.5,0.1,20,300,26,3,1,10,8,8,6,8
MAKI,Vancouver  (brown  rice),168,270,12,3.5,0.1,20,300,31,5,1,11,8,8,6,5
MAKI,911,169,200,4,0.5,0,40,300,30,2,2,12,2,8,4,8
MAKI,911  (brown  rice),169,240,5,0.5,0,40,300,36,5,2,12,2,8,4,6
MAKI,Ebi  Maki,178,190,4,0.5,0,50,240,30,2,2,9,2,10,6,10
MAKI,Ebi  Maki  (brown  rice),178,230,5,0.5,0,50,240,36,5,2,10,2,10,4,10
MAKI,Twin  salmon,180,230,9,1.5,0,45,400,26,3,1,13,2,10,4,8
MAKI,Twin  salmon  (brown  rice),180,270,10,1.5,0,45,400,32,5,1,13,2,10,4,6
MAKI,Chef's  Maki,190,220,6,1,0,60,510,28,3,4,12,2,25,6,6
MAKI,Chef's  Maki  (brown  rice),190,260,7,1,0,60,510,34,5,4,12,2,25,4,4
MAKI,Dragon,210,320,13,1,0,60,330,40,3,2,10,2,15,2,6
MAKI,Dragon  (brown  rice),210,360,13,1,0,60,330,46,5,2,11,2,15,2,4
MAKI,California  Classic,162,180,5,1,0,5,290,27,2,0,7,2,8,4,6
MAKI,California  Classic  (brown  rice),162,220,6,1,0,5,290,33,3,0,8,2,8,4,4
MAKI,Sweetheart,178,220,6,1,0,50,390,29,2,1,14,0,15,4,8
MAKI,Sweetheart  (brown  rice),178,260,7,1,0,50,390,35,4,1,15,0,15,4,8
MAKI,Red  Tiger,222,320,13,2,0,80,530,28,1,0,23,2,6,4,15
MAKI,Red  Tiger  (brown  rice),222,360,14,2,0,80,530,34,4,0,24,2,6,2,15
MAKI,Chicken  Teriyaki,166,270,12,1.5,0,25,190,34,3,2,6,4,15,4,6
MAKI,Chicken  Teriyaki  (brown  rice),166,310,13,1.5,0,25,190,40,5,2,7,4,18,4,6
SUMOMAKI,Lion  Roll  ,203,360,18,2,0.1,65,860,39,2,8,6,70,20,2,4
SUMOMAKI,Lion  Hand  Roll  ,128,220,10,1,0,50,540,25,2,4,5,35,15,2,2
SUMOMAKI,Lion  Roll  (brown  rice)  ,203,390,19,2,0.1,65,860,44,4,8,7,70,20,2,4
SUMOMAKI,Lion  Hand  Roll  (brown  rice),128,240,11,1,0,50,540,28,3,4,6,95,15,0,2
SUMOMAKI,Vegetarian  Roll,172,160,6,1,0,5,85,24,3,2,4,40,45,6,6
SUMOMAKI,Vegetarian  Hand  Roll,127,110,4.5,0.5,0,0,60,16,3,1,3,35,25,4,6
SUMOMAKI,Vegetarian  Roll  (brown  rice),172,200,7,1,0,5,85,29,5,2,5,40,25,4,6
SUMOMAKI,Vegetarian  Hand  Roll  (brown  rice),127,130,5,0.5,0,0,60,19,4,1,4,35,25,4,6
SUMOMAKI,California  Roll,211,230,9,1.5,0.1,130,480,29,3,5,9,15,10,6,10
SUMOMAKI,California  Hand  Roll,171,170,7,1,0,130,460,20,3,5,8,15,10,6,10
SUMOMAKI,California  Roll  (brown  rice),211,260,10,1.5,0.1,130,480,34,5,6,9,15,10,6,10
SUMOMAKI,California  Hand  Roll  (brown  rice),171,190,7,1,0,130,460,23,4,5,8,15,10,6,8
SUMOMAKI,Dynamite  Roll,160,230,10,1,0,40,280,29,3,2,7,2,10,4,4
SUMOMAKI,Dynamite  Hand  Roll,130,180,8,1,0,40,250,21,3,2,6,2,10,4,4
SUMOMAKI,Dynamite  Roll  (brown  rice),160,260,11,1,0,40,270,34,5,2,7,2,10,4,4
SUMOMAKI,Dynamite  Hand  Roll  (brown  rice),130,200,9,1,0,40,250,24,4,2,6,2,10,4,4
SUMOMAKI,Spicy  Salmon  crunch  Roll,171,180,3,0.4,0,20,120,27,1,2,10,2,8,2,8
SUMOMAKI,Spicy  Salmon  crunch  Hand  Roll,120,150,4.5,0.4,0,30,80,16,1,1,11,0,6,2,4
SUMOMAKI,Spicy  Salmon  crunch  Roll  (brown  rice),171,210,4,0.4,0,20,120,32,3,2,10,2,8,0,6
SUMOMAKI,Spicy  Salmon  crunch  Hand  Roll  (brown  rice),120,170,5,0.4,0,30,80,19,2,1,11,0,6,0,4
SUMOMAKI,Spicy  Tuna  crunch  Roll,171,170,1.5,0.2,0,15,115,27,1,2,11,2,8,2,8
SUMOMAKI,Spicy  Tuna  crunch  Hand  Roll,120,140,2.5,0.1,0,25,80,16,1,1,12,0,8,2,4
SUMOMAKI,Spicy  Tuna  crunch  Roll  (brown  rice),171,200,2.5,0.2,0,15,115,32,3,2,11,2,8,2,6
SUMOMAKI,Spicy  Tuna  crunch  Hand  Roll  (brown  rice),120,160,3,0.1,0,25,80,19,2,1,12,0,8,0,4
SUMOMAKI,Boston  Roll,176,170,4.5,0.5,0.1,55,390,24,2,2,9,6,10,6,8
SUMOMAKI,Boston  Hand  Roll,143,120,2.5,0.4,0,55,360,16,2,2,8,10,8,6,8
SUMOMAKI,Boston  Roll  (brown  rice),176,210,6,0.5,0.1,55,390,29,4,2,9,6,10,4,6
SUMOMAKI,Boston  Hand  Roll  (brown  rice),143,140,3.5,0.4,0,55,360,19,3,2,9,10,8,4,8
SUMOMAKI,Tuna  Kamikaze    Roll,180,200,4.5,0.5,0,40,430,29,2,2,12,2,8,2,8
SUMOMAKI,Tuna  Kamikaze  Hand  Roll,134,150,4.5,0.5,0,45,380,19,2,2,9,2,8,2,4
SUMOMAKI,Tuna  Kamikaze    Roll  (brown  rice),180,240,5,0.5,0,40,430,34,4,2,12,2,8,2,6
SUMOMAKI,Tuna  Kamikaze  Hand  Roll  (brown  rice),134,170,5,0.5,0,45,380,22,3,2,10,2,8,0,4
SUMOMAKI,Salmon  Kamikaze    Roll,180,210,6,0.5,0,45,430,29,2,2,11,2,8,2,8
SUMOMAKI,Salmon  Kamikaze  Hand  Roll  ,134,160,5,0.5,0,45,380,19,2,2,9,2,8,2,4
SUMOMAKI,Salmon  Kamikaze    Roll(brown  rice),180,250,7,0.5,0,45,430,34,4,2,12,2,8,0,6
SUMOMAKI,Salmon  Kamikaze  Hand  Roll    (brown  rice),134,180,6,0.5,0,45,380,22,3,2,9,2,8,0,4
SUMOMAKI,Snow  Crab  Roll,170,190,4,0.5,0,30,530,26,2,1,11,0,8,4,6
SUMOMAKI,Snow  Crab  Hand  Roll,122,140,4.5,0.4,0,35,460,17,2,1,9,0,8,2,2
SUMOMAKI,Snow  Crab  Roll  (brown  rice),170,220,5,0,0,30,530,31,4,1,11,0,8,2,4
SUMOMAKI,Snow  Crab  Hand  Roll    (brown  rice),122,160,5,0.4,0,35,460,20,3,1,9,0,8,2,2
SUMOMAKI,Rainbow  Roll,194,220,6,1,0,25,125,28,2,2,14,2,10,2,10
SUMOMAKI,Rainbow  Hand  Roll,119,150,5,0.5,0,20,70,16,2,0,10,2,8,2,4
SUMOMAKI,Rainbow  Roll  (brown  rice),194,250,7,1,0,25,125,33,4,2,14,2,10,2,8
SUMOMAKI,RainbowHand  Roll  (brown  rice),119,170,6,0.5,0,20,70,19,3,1,10,2,8,0,4
SUMOMAKI,Red  Eye  Roll,157,180,2.5,0.3,0,45,360,27,1,1,13,0,6,4,6
SUMOMAKI,Red  Eye  Hand  Roll,103,130,3,0.2,0,45,350,17,1,1,9,0,6,2,4
SUMOMAKI,Red  Eye  Roll  (brown  rice),157,220,3.5,0.3,0,45,360,32,3,1,13,0,6,2,6
SUMOMAKI,Red  Eye  Hand  Roll  (brown  rice),103,150,3.5,0.2,0,45,350,20,2,1,9,0,6,2,2
SUMOMAKI,Miami  Roll,161,250,8,2,0.1,40,450,26,1,2,12,4,2,4,6
SUMOMAKI,Miami  Hand  Roll,101,170,5,1,0,20,250,16,1,1,8,2,2,2,4
SUMOMAKI,Miami  Roll  (brown  rice),161,290,9,2,0.1,40,450,31,3,2,13,4,2,2,6
